Name,Employment_Sep2023
Alabama,2158000
Alaska,326200
Arizona,3172400
Arkansas,1364600
California,18109000
Colorado,2917800
Connecticut,1694500
Delaware,486800
District of Columbia,779300
Florida,9796400
Georgia,4942700
Hawaii,632300
Idaho,860700
Illinois,6159000
Indiana,3273100
Iowa,1585200
Kansas,1449100
Kentucky,2030500
Louisiana,1978900
Maine,647500
Maryland,2764500
Massachusetts,3783300
Michigan,4432800
Minnesota,2994800
Mississippi,1174400
Missouri,2988700
Montana,518200
Nebraska,1046500
Nevada,1563700
New Hampshire,701600
New Jersey,4347400
New Mexico,871100
New York,9739100
North Carolina,4948400
North Dakota,439100
Ohio,5648100
Oklahoma,1737500
Oregon,2009500
Pennsylvania,6171600
Rhode Island,495600
South Carolina,2308300
South Dakota,467300
Tennessee,3329200
Texas,14049400
Utah,1726000
Vermont,307100
Virginia,4157700
Washington,3645500
West Virginia,706700
Wisconsin,3017800
Wyoming,293000
Puerto Rico,952700
