unique_abbreviation	university_name	country_code	country_name	degree_type	degree_name	program_name	program_url	program_language	program_modes	university_latitude	university_longitude
INCAE_CR	INCAE Business School	CR	Costa Rica	MBA	Master in Business Administration	Full-Time MBA	https://www.incae.edu/en/programs/full-time-mba/curriculum.html	English	in-person	10.00309157	-84.27947454
UCR_BBA	Universidad de Costa Rica	CR	Costa Rica	BBA	Bachelor of Business Administration	Administración de Empresas	https://www.ucr.ac.cr/actividades/2016/05/11/nueva-carrera-de-administracion-de-empresas-actualiza-perfil-de-egreso.html	Spanish	in-person	9.938003497	-84.05065511
TTU_CR	Texas Tech University - Costa Rica	CR	Costa Rica	BBA	Bachelor of Business Administration	Full-Time	https://www.depts.ttu.edu/costarica/AcademicsNew/	English	in-person	9.937799564	-84.1430775
LEAD_CR	Lead University	CR	Costa Rica	BBA	Bachelor of Business Administration	Bachillerato en Ciencias Empreserial	https://ulead.ac.cr/es/carreras/bachilleratos/bachillerato-en-ciencias-empresariales	Spanish	in-person	9.940602458	-84.12093438
UFM_BBA	Universidad Francisco Marroquin	GT	Guatemala	BBA	Bachelor of Business Administration	Administración de Empresas	https://ufm.edu/Administracion_de_Empresas	Spanish	in-person	14.60874726	-90.50559106
UJMD_BBA	Universidad Dr. Jose Matias Delgado	SV	El Salvador	BBA	Bachelor of Business Administration	Administración de Empresas	https://www.ujmd.edu.sv/oferta-academica/administracion-de-empresas/	Spanish	in-person	13.67527166	-89.25634893
UNITEC_BBA	Universidad Tecnologica Centroamericana	HN	Honduras	BBA	Bachelor of Business Administration	Administración de Empresas	https://www.unitec.edu/programas/administracion-de-empresas/	Spanish	in-person	14.0483679	-87.17416742
UAM_BBA	Universidad Americana	NI	Nicaragua	BBA	Bachelor of Business Administration	Administración de Empresas	https://www.uam.edu.ni/carreras/administracion-de-empresas/	Spanish	in-person	12.1089342	-86.25736088
ULatina_BBA	Universidad Latina de Panama	PA	Panama	BBA	Bachelor of Business Administration	Administración de Empresas	https://www.ulatina.pa/carreras/administracion-de-empresas	Spanish	in-person	8.541350961	-82.4552248
UB_BBA	University of Belize	BZ	Belize	BBA	Bachelor of Business Administration	Business Administration	https://www.ub.edu.bz/programmes/bachelors-degree-in-business-administration/	English	in-person	17.35056633	-88.76608502
UAntilles_BBA	Universite des Antilles	MQ	Martinique	BBA	Bachelor of Business Administration	Économie et Gestion	https://www.univ-antilles.fr/formations/licence-economie-et-gestion-0	French	in-person	14.74254407	-61.08485867
SALCC_ADBS	Sir Arthur Lewis Community College	LC	St. Lucia	Associate Degree	Associate Degree in Business Studies	Business Studies	https://www.salcc.edu.lc/programmes/business-studies.html	English	in-person	13.99864978	-60.99586739
SVGCC_ADBS	St. Vincent and the Grenadines Community College	VC	St. Vincent and the Grenadines	Associate Degree	Associate Degree in Business Studies	Business Studies	https://www.svgcc.vc/index.php/academic-division/programmes	English	in-person	13.1357079	-61.19637633
SGU_BSBA	St. George's University	GD	Grenada	BSBA	Bachelor of Science in Business Administration	Business Administration	https://www.sgu.edu/academic-programs/undergraduate/bachelor-of-science-in-business-administration/	English	in-person	12.00056605	-61.77373049
UVI_BABA	University of the Virgin Islands	VI	U.S. Virgin Islands	BABA	Bachelor of Arts in Business Administration	Business Administration	https://www.uvi.edu/academics/business/programs/bachelor-of-arts-in-business-administration.aspx	English	in-person	18.3434788	-64.97292262
UWI_Cave_Hill_BBA	"University of the West Indies, Cave Hill Barbados"	BB	Barbados	BBA	Bachelor of Business Administration	Department of Management Studies	https://www.cavehill.uwi.edu/fss/departments/management-studies.aspx	English	in-person	13.13477345	-59.62985188
UWI_Mona_BBA	"University of the West Indies, Mona School of Business"	JM	Jamaica	BBA	Bachelor of Business Administration	Department of Management Studies	https://www.mona.uwi.edu/msbm/undergraduate-programs	English	in-person	18.00816553	-76.74757139
UWI_St_Augustine_BBA	"University of the West Indies, St. Augustine Campus"	TT	Trinidad and Tobago	BBA	Bachelor of Business Administration	Department of Management Studies	https://sta.uwi.edu/fss/dms/undergraduate	English	in-person	10.64180742	-61.39955683
USM_BBA	University of Saint Maarten	SX	Sint Maarten	BBA	Bachelor of Business Administration	Business Division	https://www.usm.sx/academics/school-of-business-and-social-sciences/business-division/	English	in-person	18.02773931	-63.04425038
UCCI_BBA	University College of the Cayman Islands	KY	Cayman Islands	BBA	Bachelor of Business Administration	Business Administration	https://www.ucci.edu.ky/academic/ug-prog/busadmin	English	in-person	19.28039104	-81.38378246
UOG_BBA	The University of Guyana	GY	Guyana	BBA	Bachelor of Business Administration	Faculty of Business and Economics	https://uog.edu.gy/faculties/business-economics	English	in-person	6.812705728	-58.11795391
UH_BBA	State University of Haiti	HT	Haiti	BBA	Bachelor of Business Administration	Faculté des Sciences Économiques et Administratives	https://www.ueh.edu.ht/fscea/	French	in-person	18.54153403	-72.33737867
UPR_RRP_BBA	"University of Puerto Rico, Rio Piedras Campus"	PR	Puerto Rico	BBA	Bachelor of Business Administration	College of Business Administration	https://cba.uprrp.edu/	"English, Spanish"	in-person	18.40441505	-66.05136038
PUCMM_BBA	Pontificia Universidad Catolica Madre y Maestra	DO	Dominican Republic	BBA	Bachelor of Business Administration	Administración de Empresas	https://www.pucmm.edu.do/carreras/administracion-de-empresas	Spanish	in-person	18.46330293	-69.92979388
UT_BBA	Universidad Tecnologica de Santiago	DO	Dominican Republic	BBA	Bachelor of Business Administration	Administración de Empresas	https://www.utesa.edu/webutesa/recintos/santiago/Prog-Carreras/C-SUPERIOR/CSADMINISTRACION.asp	Spanish	in-person	18.45602421	-69.9778607
UNPHU_BBA	Universidad Nacional Pedro Henriquez Urena	DO	Dominican Republic	BBA	Bachelor of Business Administration	Administración de Empresas	https://www.unphu.edu.do/carrera/administracion-de-empresas/	Spanish	in-person	18.48599614	-69.94828036
AUA_BBA	American University of Antigua	AG	Antigua and Barbuda	BBA	Bachelor of Business Administration	Business Administration	https://www.auamed.org/undergraduate-programs/business-administration/	English	in-person	17.15637322	-61.79764508
CCC_BBA	Clarence Fitzroy Bryant College	KN	St. Kitts and Nevis	BBA	Bachelor of Business Administration	Business Administration	https://www.cfbccu.org/academics/business/	English	in-person	17.29691702	-62.73126769
UTT_BBA	University of Trinidad and Tobago	TT	Trinidad and Tobago	BBA	Bachelor of Business Administration	Business Administration	https://www.utt.edu.tt/index.php/programmes/business/	English	in-person	10.40599131	-61.46308809
UWI_OpenCampus_BBA	"University of the West Indies, Open Campus"	BB	Barbados	BBA	Bachelor of Business Administration	Department of Management Studies	https://www.open.uwi.edu/programmes	English	"in-person, online"	18.00515696	-76.74275912
COB_BBA	College of The Bahamas	BS	Bahamas	BBA	Bachelor of Business Administration	Business Administration	https://www.ub.edu.bs/academics/schools/school-of-business/	English	in-person	27.0243993	-78.78588973
UCC_BBA	University of the Commonwealth Caribbean	JM	Jamaica	BBA	Bachelor of Business Administration	Business Administration	https://www.ucc.edu.jm/programmes/bachelor-business-administration	English	in-person	18.00737925	-76.78119485
UWI_Tech_BBA	"University of the West Indies, Five Islands Campus"	AG	Antigua and Barbuda	BBA	Bachelor of Business Administration	Department of Management Studies	https://www.uwi.edu/fiveislands/programmes/	English	in-person	17.12023659	-61.83173197
UBTR_BBA	"Universidad de Belice, Toledo Campus"	BZ	Belize	BBA	Bachelor of Business Administration	Business Administration	https://www.ub.edu.bz/programmes/bachelors-degree-in-business-administration/	English	in-person	17.63727329	-88.23731249
UA_BBA	Universidad de los Andes	CO	Colombia	BBA	Bachelor of Business Administration	Business Administration	https://administracion.uniandes.edu.co/index.php/en/pregrado/programa-academico	"English, Spanish"	in-person	4.607676469	-74.06577733
UNC_BBA	Universidad Nacional de Colombia	CO	Colombia	BBA	Bachelor of Business Administration	Business Administration	https://fce.unal.edu.co/pregrado/administracion-de-empresas/	Spanish	in-person	5.107058379	-74.09280049
USFQ_BBA	Universidad San Francisco de Quito	EC	Ecuador	BBA	Bachelor of Business Administration	Business Administration	https://www.usfq.edu.ec/programas_academicos/administracion/Paginas/default.aspx	Spanish	in-person	-0.195850944	-78.43604808
UEES_BBA	Universidad de Especialidades Espiritu Santo	EC	Ecuador	BBA	Bachelor of Business Administration	Business Administration	https://www.uees.edu.ec/facultad-de-ciencias-administrativas/bba/	Spanish	in-person	-2.133046028	-79.86612066
UP_BBA	Universidad del Pacifico	PE	Peru	BBA	Bachelor of Business Administration	Business Administration	https://www.up.edu.pe/carreras/administracion/	Spanish	in-person	-12.08328332	-77.04884917
ESAN_BBA	ESAN University	PE	Peru	BBA	Bachelor of Business Administration	Business Administration	https://www.ue.edu.pe/carreras/administracion/	Spanish	in-person	-8.391574041	-75.07439072
FGV_BBA	Fundacao Getulio Vargas (FGV)	BR	Brazil	BBA	Bachelor of Business Administration	Business Administration	https://eaesp.fgv.br/ensino/graduacao/administracao-de-empresas	Portuguese	in-person	-22.93930121	-43.18157062
USP_BBA	Universidade de Sao Paulo (USP)	BR	Brazil	BBA	Bachelor of Business Administration	Business Administration	https://www.fea.usp.br/administracao/graduacao	Portuguese	in-person	-23.5499978	-46.6333308
