countryForbes,countryWPP,ISO3
Czech Republic,Czechia,CZE
Eswatini (Swaziland),Eswatini,SWZ
Hong Kong,"China, Hong Kong SAR",HKG
Macao,"China, Macao SAR",MAC
Macau,"China, Macao SAR",MAC
Russia,Russian Federation,RUS
South Korea,Dem. People's Republic of Korea,KOR
St. Kitts and Nevis,Saint Kitts and Nevis,KNA
Swaziland,Eswatini,SWZ
Taiwan,"China, Taiwan Province of China",TWN
Tanzania,United Republic of Tanzania,TZA
Turkey,Türkiye,TUR
United States,United States of America,USA
Venezuela,Venezuela (Bolivarian Republic of),VEN
Vietnam,Viet Nam,VNM
